Specie,Count,Weight
Menticirrhus americanus,452,0.9340199115044248
Menticirrhus littoralis,249,1.6954899598393574
Meuschenia flavolineata,253,1.6686837944664032
Meuschenia freycineti,805,0.5244434782608696
Meuschenia hippocrepis,539,0.7832597402597402
Meuschenia scaber,318,1.3276006289308175
Meuschenia trachylepis,691,0.6109652677279306
Microcanthus strigatus,851,0.4960951821386604
Micropogonias undulatus,445,0.9487123595505618
Micropterus dolomieu,3423,0.12333537832310838
Micropterus floridanus,412,1.0247014563106795
Micropterus henshalli,136,3.1042426470588236
Micropterus punctulatus,436,0.968295871559633
Micropterus salmoides,9886,0.04270453166093466
Micropterus treculii,358,1.1792653631284917
Microspathodon chrysurus,547,0.7718043875685557
Microspathodon dorsalis,438,0.9638744292237443
Minytrema melanops,213,1.9820516431924882
Misgurnus anguillicaudatus,320,1.319303125
Mola mola,1296,0.32575385802469137
Monacanthus chinensis,841,0.5019940546967895
Monodactylus argenteus,416,1.0148485576923076
Monopterus albus,225,1.8763422222222221
Monotaxis grandoculis,445,0.9487123595505618
Monotaxis heterodon,135,3.127237037037037
Morone americana,688,0.6136293604651163
Morone chrysops,381,1.1080761154855643
Morone mississippiensis,156,2.7062628205128205
Morone saxatilis,1156,0.36520501730103805
Moxostoma anisurum,150,2.814513333333333
Moxostoma congestum,138,3.0592536231884058
Moxostoma erythrurum,224,1.88471875
Moxostoma macrolepidotum,186,2.269768817204301
Mulloidichthys dentatus,147,2.871952380952381
Mulloidichthys flavolineatus,602,0.7012906976744187
Mulloidichthys martinicus,264,1.599155303030303
Mulloidichthys vanicolensis,541,0.7803641404805916
Mullus surmuletus,594,0.7107356902356903
Muraena helena,472,0.8944427966101695
Muraena lentiginosa,166,2.5432349397590364
Mycteroperca bonaci,214,1.9727897196261681
Myoxocephalus scorpius,236,1.788885593220339
Myrichthys breviceps,187,2.257631016042781
Myripristis berndti,126,3.350611111111111
Myripristis jacobus,181,2.3324696132596685
Myripristis kuntee,175,2.41244
Myripristis murdjan,133,3.1742631578947367
Myripristis violacea,112,3.7694375
Naso brevirostris,304,1.3887401315789474
Naso elegans,134,3.1505746268656716
Naso hexacanthus,140,3.01555
Naso lituratus,686,0.6154183673469388
Naso unicornis,653,0.6465191424196018
Naso vlamingii,183,2.3069781420765025
Nemadactylus douglasii,164,2.57425
Nemateleotris magnifica,242,1.7445330578512397
Neoglyphidodon melas,155,2.7237225806451613
Neoglyphidodon nigroris,145,2.9115655172413795
Neogobius melanostomus,985,0.4286060913705584
Neoniphon sammara,269,1.5694312267657993
Neoodax balteatus,298,1.4167013422818793
Neopomacentrus bankieri,70,6.0311
Neopomacentrus cyanomos,56,7.538875
Nocomis biguttatus,451,0.9360909090909091
Nocomis leptocephalus,309,1.3662686084142395
Nocomis micropogon,342,1.23443567251462
Notemigonus crysoleucas,1097,0.3848468550592525
Notropis atherinoides,204,2.0694950980392157
Notropis hudsonius,281,1.5024092526690391
Notropis rubellus,215,1.963613953488372
Notropis stramineus,189,2.233740740740741
Notropis volucellus,136,3.1042426470588236
Noturus flavus,268,1.5752873134328358
